COLUMN_NAME,SUM_JUNE_JULY_2025,SUM_JUNE_JULY_2026
DUSSEHRA_(VIJAYADASHAMI)_DAYS,0,0
NUM_DAYS_MONTH,0,0
AKSHAYA_TRITIYA_DAYS,0,0
BHAI_DOOJ_DAYS,0,0
BUDDHA_PURNIMA_DAYS,0,0
CHHATH_PUJA_DAYS,0,0
DHANTERAS_DAYS,0,0
DIWALI_DAYS,0,0
EID_UL_FITR_DAYS,0,0
GANESH_CHATURTHI_DAYS,0,0
GANGA_DUSSEHRA_DAYS,132291,0
GOVARDHAN_POOJA_DAYS,0,0
GURU_PURNIMA_DAYS,132291,132291
HANUMAN_JAYANTI_DAYS,0,0
HARTALIK_TEEJ_DAYS,132291,0
HOLI_DAYS,0,0
HOLIKA_DAHAN_DAYS,0,0
JAGANNATH_RATHYATRA_DAYS,132291,132291
JANMASHTAMI_DAYS,0,0
KARWA_CHAUTH_DAYS,0,0
LOHRI_DAYS,0,0
MAHA_SHIVARATRI_DAYS,0,0
MAKAR_SANKRANTI_PONGAL_DAYS,0,0
NAG_PANCHAMI_DAYS,132291,0
NAVRATRI_DAYS,0,0
NEW_YEAR_DAYS,0,0
ONAM_DAYS,0,0
PITRAPAKSHA_DAYS,0,0
RAKSHA_BANDHAN_DAYS,0,0
REPUBLIC_DAY_DAYS,0,0
VASANT_PANCHAMI_DAYS,0,0
VISHWAKARMA_PUJA_DAYS,0,0
MARRIAGE_DAYS,1455201,1058328
FESTIVE_PHASE_I,0,0
FESTIVE_PHASE_II,0,0
FESTIVE_PHASE_III,0,0
PITRU_PAKSH,0,0
TOTAL_DAYS_FESTIVE_PHASE_I,0,0
TOTAL_DAYS_FESTIVE_PHASE_II,0,0
TOTAL_DAYS_FESTIVE_PHASE_III,0,0
TOTAL_DAYS_PITRU_PAKSH,0,0
PROP_FESTIVE_PHASE_I,0,0
PROP_EVENT_FESTIVE_PHASE_I,0,0
PROP_FESTIVE_PHASE_II,0,0
PROP_EVENT_FESTIVE_PHASE_II,0,0
PROP_FESTIVE_PHASE_III,0,0
PROP_EVENT_FESTIVE_PHASE_III,0,0
PROP_PITRU_PAKSH,0,0
PROP_EVENT_PITRU_PAKSH,0,0
